proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
7.800000	0.095174	0.000384
7.880000	0.095816	0.000447
7.960000	0.094650	0.000310
8.040000	0.094685	0.000310
8.120000	0.095320	0.000384
8.200000	0.095007	0.000344
8.280000	0.095466	0.000394
8.360000	0.095236	0.000365
8.440000	0.095176	0.000354
8.520000	0.094770	0.000298
8.600000	0.095309	0.000365
8.680000	0.095159	0.000344
8.760000	0.095179	0.000344
8.840000	0.094854	0.000298
8.920000	0.096333	0.000463
9.000000	0.095147	0.000333
9.080000	0.095077	0.000322
9.160000	0.095607	0.000384
9.240000	0.095707	0.000394
9.320000	0.095119	0.000322
9.400000	0.095647	0.000384
9.480000	0.094885	0.000285
9.560000	0.095498	0.000365
9.640000	0.095852	0.000403
9.720000	0.095260	0.000333
9.800000	0.096128	0.000430
9.880000	0.095879	0.000403
9.960000	0.095457	0.000354
10.040000	0.096239	0.000438
10.120000	0.095644	0.000375
10.200000	0.095823	0.000394
10.280000	0.095657	0.000375
10.360000	0.095577	0.000365
10.440000	0.095239	0.000322
10.520000	0.095760	0.000384
10.600000	0.095421	0.000344
10.680000	0.095769	0.000384
10.760000	0.095688	0.000375
10.840000	0.096294	0.000438
10.920000	0.096297	0.000438
11.000000	0.097160	0.000516
11.080000	0.095531	0.000354
11.160000	0.095878	0.000394
11.240000	0.095881	0.000394
11.320000	0.096142	0.000421
11.400000	0.095371	0.000333
11.480000	0.095631	0.000365
11.560000	0.096063	0.000412
11.640000	0.095980	0.000403
11.720000	0.096154	0.000421
11.800000	0.095640	0.000365
11.880000	0.095470	0.000344
11.960000	0.095901	0.000394
12.040000	0.095129	0.000298
12.120000	0.095818	0.000384
12.200000	0.095992	0.000403
12.280000	0.095563	0.000354
12.360000	0.095393	0.000333
12.440000	0.095566	0.000354
12.520000	0.094965	0.000272
12.600000	0.096084	0.000412
12.680000	0.095139	0.000298
12.760000	0.095656	0.000365
12.840000	0.095313	0.000322
12.920000	0.096173	0.000421
