Figure 3-2
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, unlike-sign kaons
-0.28<=dy<-0.2 	 75<=dphi<85 	 R2=-0.0162972
-0.2<=dy<-0.12 	 75<=dphi<85 	 R2=-0.015902
-0.12<=dy<-0.04 	 75<=dphi<85 	 R2=-0.0127912
-0.04<=dy<0.04 	 75<=dphi<85 	 R2=-0.0118107
0.04<=dy<0.12 	 75<=dphi<85 	 R2=-0.0138058
0.12<=dy<0.2 	 75<=dphi<85 	 R2=-0.0119929
0.2<=dy<0.28 	 75<=dphi<85 	 R2=-0.0171257
0.28<=dy<0.36 	 75<=dphi<85 	 R2=-0.012026
0.36<=dy<0.44 	 75<=dphi<85 	 R2=-0.0114354
0.44<=dy<0.52 	 75<=dphi<85 	 R2=-0.0160032
0.52<=dy<0.6 	 75<=dphi<85 	 R2=-0.0190528
0.6<=dy<0.68 	 75<=dphi<85 	 R2=-0.0149614
0.68<=dy<0.76 	 75<=dphi<85 	 R2=-0.0210802
-0.76<=dy<-0.68 	 85<=dphi<95 	 R2=-0.0369358
-0.68<=dy<-0.6 	 85<=dphi<95 	 R2=-0.0260501
-0.6<=dy<-0.52 	 85<=dphi<95 	 R2=-0.0188461
-0.52<=dy<-0.44 	 85<=dphi<95 	 R2=-0.0229663
-0.44<=dy<-0.36 	 85<=dphi<95 	 R2=-0.0212256
-0.36<=dy<-0.28 	 85<=dphi<95 	 R2=-0.0194176
-0.28<=dy<-0.2 	 85<=dphi<95 	 R2=-0.0181291
-0.2<=dy<-0.12 	 85<=dphi<95 	 R2=-0.0106238
-0.12<=dy<-0.04 	 85<=dphi<95 	 R2=-0.01223
-0.04<=dy<0.04 	 85<=dphi<95 	 R2=-0.00983827
0.04<=dy<0.12 	 85<=dphi<95 	 R2=-0.0119721
0.12<=dy<0.2 	 85<=dphi<95 	 R2=-0.0130218
0.2<=dy<0.28 	 85<=dphi<95 	 R2=-0.0150784
0.28<=dy<0.36 	 85<=dphi<95 	 R2=-0.0194233
0.36<=dy<0.44 	 85<=dphi<95 	 R2=-0.0216158
0.44<=dy<0.52 	 85<=dphi<95 	 R2=-0.0158408
0.52<=dy<0.6 	 85<=dphi<95 	 R2=-0.0149404
0.6<=dy<0.68 	 85<=dphi<95 	 R2=-0.007731
0.68<=dy<0.76 	 85<=dphi<95 	 R2=-0.00999211
-0.76<=dy<-0.68 	 95<=dphi<105 	 R2=-0.00608468
-0.68<=dy<-0.6 	 95<=dphi<105 	 R2=-0.0195328
-0.6<=dy<-0.52 	 95<=dphi<105 	 R2=-0.0113482
-0.52<=dy<-0.44 	 95<=dphi<105 	 R2=-0.0130777
-0.44<=dy<-0.36 	 95<=dphi<105 	 R2=-0.0147016
-0.36<=dy<-0.28 	 95<=dphi<105 	 R2=-0.0113819
-0.28<=dy<-0.2 	 95<=dphi<105 	 R2=-0.0117057
-0.2<=dy<-0.12 	 95<=dphi<105 	 R2=-0.0172147
-0.12<=dy<-0.04 	 95<=dphi<105 	 R2=-0.013054
-0.04<=dy<0.04 	 95<=dphi<105 	 R2=-0.015539
0.04<=dy<0.12 	 95<=dphi<105 	 R2=-0.011409
0.12<=dy<0.2 	 95<=dphi<105 	 R2=-0.0177721
0.2<=dy<0.28 	 95<=dphi<105 	 R2=-0.012033
0.28<=dy<0.36 	 95<=dphi<105 	 R2=-0.0162391
0.36<=dy<0.44 	 95<=dphi<105 	 R2=-0.0201139
0.44<=dy<0.52 	 95<=dphi<105 	 R2=-0.00885874
0.52<=dy<0.6 	 95<=dphi<105 	 R2=-0.0120329
0.6<=dy<0.68 	 95<=dphi<105 	 R2=-0.0166194
0.68<=dy<0.76 	 95<=dphi<105 	 R2=-0.0215862
-0.76<=dy<-0.68 	 105<=dphi<115 	 R2=0.0118894
-0.68<=dy<-0.6 	 105<=dphi<115 	 R2=-0.0124767
-0.6<=dy<-0.52 	 105<=dphi<115 	 R2=-0.0174919
-0.52<=dy<-0.44 	 105<=dphi<115 	 R2=-0.00896699
