Figure 3-1
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, like-sign kaons
0.52<=dy<0.6 	 75<=dphi<85 	 R2=-0.00592579
0.6<=dy<0.68 	 75<=dphi<85 	 R2=-0.0120996
0.68<=dy<0.76 	 75<=dphi<85 	 R2=-0.0144925
-0.76<=dy<-0.68 	 85<=dphi<95 	 R2=-0.00629395
-0.68<=dy<-0.6 	 85<=dphi<95 	 R2=-0.000149462
-0.6<=dy<-0.52 	 85<=dphi<95 	 R2=-0.00984691
-0.52<=dy<-0.44 	 85<=dphi<95 	 R2=-0.00906572
-0.44<=dy<-0.36 	 85<=dphi<95 	 R2=-0.0111978
-0.36<=dy<-0.28 	 85<=dphi<95 	 R2=-0.00832605
-0.28<=dy<-0.2 	 85<=dphi<95 	 R2=-0.0100084
-0.2<=dy<-0.12 	 85<=dphi<95 	 R2=-0.0117349
-0.12<=dy<-0.04 	 85<=dphi<95 	 R2=-0.0125741
-0.04<=dy<0.04 	 85<=dphi<95 	 R2=-0.0111328
0.04<=dy<0.12 	 85<=dphi<95 	 R2=-0.0075498
0.12<=dy<0.2 	 85<=dphi<95 	 R2=-0.0109926
0.2<=dy<0.28 	 85<=dphi<95 	 R2=-0.00858252
0.28<=dy<0.36 	 85<=dphi<95 	 R2=-0.0140313
0.36<=dy<0.44 	 85<=dphi<95 	 R2=-0.00859629
0.44<=dy<0.52 	 85<=dphi<95 	 R2=-0.00714792
0.52<=dy<0.6 	 85<=dphi<95 	 R2=-0.00892361
0.6<=dy<0.68 	 85<=dphi<95 	 R2=-0.011925
0.68<=dy<0.76 	 85<=dphi<95 	 R2=-0.011779
-0.76<=dy<-0.68 	 95<=dphi<105 	 R2=-0.00502081
-0.68<=dy<-0.6 	 95<=dphi<105 	 R2=-0.00545821
-0.6<=dy<-0.52 	 95<=dphi<105 	 R2=-0.00802651
-0.52<=dy<-0.44 	 95<=dphi<105 	 R2=-0.0104827
-0.44<=dy<-0.36 	 95<=dphi<105 	 R2=-0.00755741
-0.36<=dy<-0.28 	 95<=dphi<105 	 R2=-0.00892996
-0.28<=dy<-0.2 	 95<=dphi<105 	 R2=-0.00861471
-0.2<=dy<-0.12 	 95<=dphi<105 	 R2=-0.00874232
-0.12<=dy<-0.04 	 95<=dphi<105 	 R2=-0.0113428
-0.04<=dy<0.04 	 95<=dphi<105 	 R2=-0.00750845
0.04<=dy<0.12 	 95<=dphi<105 	 R2=-0.00666641
0.12<=dy<0.2 	 95<=dphi<105 	 R2=-0.00724862
0.2<=dy<0.28 	 95<=dphi<105 	 R2=-0.0114087
0.28<=dy<0.36 	 95<=dphi<105 	 R2=-0.00684159
0.36<=dy<0.44 	 95<=dphi<105 	 R2=-0.00351178
0.44<=dy<0.52 	 95<=dphi<105 	 R2=-0.00902729
0.52<=dy<0.6 	 95<=dphi<105 	 R2=-0.00788537
0.6<=dy<0.68 	 95<=dphi<105 	 R2=-0.00181821
0.68<=dy<0.76 	 95<=dphi<105 	 R2=-0.000764266
-0.76<=dy<-0.68 	 105<=dphi<115 	 R2=-0.0150656
-0.68<=dy<-0.6 	 105<=dphi<115 	 R2=-0.00285127
-0.6<=dy<-0.52 	 105<=dphi<115 	 R2=-0.0108767
-0.52<=dy<-0.44 	 105<=dphi<115 	 R2=-0.000582404
-0.44<=dy<-0.36 	 105<=dphi<115 	 R2=-0.00281024
-0.36<=dy<-0.28 	 105<=dphi<115 	 R2=-0.00360671
-0.28<=dy<-0.2 	 105<=dphi<115 	 R2=-0.00645913
-0.2<=dy<-0.12 	 105<=dphi<115 	 R2=-0.00520669
-0.12<=dy<-0.04 	 105<=dphi<115 	 R2=-0.00548706
-0.04<=dy<0.04 	 105<=dphi<115 	 R2=-0.00485096
0.04<=dy<0.12 	 105<=dphi<115 	 R2=-0.00711577
0.12<=dy<0.2 	 105<=dphi<115 	 R2=-0.00721881
