# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# pT:0.0-0.5 GeV/c
0.795 0.01 0.0108315 0.00153302 0.00160225 0.0105541 1.02629 1.42892 1.38294
0.845 0.09 0.00431177 0.000475128 0.000702728 0.00286771 1.50356 1.89191 1.79742
0.9275 0.075 0.00360686 0.000458784 0.000545626 0.00233564 1.54427 1.54646 1.47478
0.9825 0.035 0.0052739 0.000616838 0.000790726 0.00367156 1.43642 1.34773 1.22517
1.005 0.01 0.0101367 0.000992463 0.00144191 0.0106099 0.955405 1.0787 1.07174
1.0125 0.005 0.0212286 0.00139961 0.0030468 0.0206992 1.02558 1.04038 1.0353
1.0175 0.005 0.0245764 0.00131026 0.00355137 0.0259116 0.948473 1.03226 1.0282
1.0275 0.015 0.0129974 0.000741788 0.00199134 0.0155502 0.835836 1.05373 1.04508
1.0825 0.095 0.00211539 0.000268602 0.000669329 0.0019308 1.0956 1.38596 1.31288
1.19 0.12 0.0014797 0.000202484 0.000469201 0.00117182 1.26274 1.4035 1.37718
1.35 0.2 0.000978527 0.00012377 0.000277335 0.000822868 1.18917 1.3099 1.35356
1.55 0.2 0.000746311 9.24155e-05 0.000164972 0.000528823 1.41127 1.22294 1.32197
1.7625 0.225 0.000462905 6.48445e-05 0.000102759 0.000334542 1.3837 1.16448 1.29912
1.975 0.2 0.000257686 5.15696e-05 5.31605e-05 0.000214327 1.20231 1.12283 1.28323
2.1625 0.175 0.000170155 4.31204e-05 3.63068e-05 0.000148348 1.147 1.09507 1.27526
2.3625 0.225 9.65596e-05 2.96596e-05 2.20914e-05 0.000105652 0.913937 1.07153 1.26517
2.57 0.19 0.000128716 2.52203e-05 2.25285e-05 7.91599e-05 1.62602 1.04943 1.2431
2.7575 0.185 9.10619e-05 2.06244e-05 1.57548e-05 7.05716e-05 1.29035 1.03117 1.20441
2.92 0.14 0.000127805 2.00228e-05 1.97273e-05 9.38097e-05 1.36239 1.01434 1.11937
